partid,line,speaker,word
2,20,participant,just
2,20,participant,a
2,20,participant,theory
2,20,participant,now
2,20,participant,but
2,20,participant,perhaps
2,20,participant,the
2,20,participant,reason
2,20,participant,that
2,20,participant,it's
2,20,participant,so
2,20,participant,clearly
2,20,participant,identifiable
2,20,participant,is
2,20,participant,it's
2,20,participant,one
2,20,participant,of
2,20,participant,the
2,20,participant,vaults
2,20,participant,which
2,20,participant,lends
2,20,participant,itself
2,20,participant,probably
2,20,participant,the
2,20,participant,vault
2,20,participant,that
2,20,participant,lends
2,20,participant,itself
2,20,participant,most
2,20,participant,cleanly
2,20,participant,to
2,20,participant,doing
2,20,participant,a
2,20,participant,precision
2,20,participant,afterwards
2,20,participant,because
2,20,participant,your
2,20,participant,feet
2,20,participant,are
2,20,participant,already
2,20,participant,there's
2,20,participant,a
2,20,participant,level
2,20,participant,of
2,20,participant,control
2,20,participant,which
2,20,participant,if
2,20,participant,you're
2,20,participant,on
2,20,participant,the
2,20,participant,side
2,20,participant,on
2,20,participant,the
2,20,participant,side
2,20,participant,you're
2,20,participant,not
2,20,participant,likely
2,20,participant,to
2,20,participant,land
2,20,participant,you're
2,20,participant,going
2,20,participant,to
2,20,participant,have
2,20,participant,to
2,20,participant,correct
2,20,participant,your
2,20,participant,positioning
2,20,participant,in
2,20,participant,order
2,20,participant,to
2,20,participant,land
2,20,participant,straight
2,20,participant,so
2,20,participant,i
2,20,participant,think
2,20,participant,maybe
2,20,participant,that's
2,20,participant,is
2,20,participant,that
2,20,participant,an
2,20,participant,element
2,20,participant,to
2,20,participant,why
2,20,participant,why
2,20,participant,it's
2,20,participant,kind
2,20,participant,of
2,20,participant,clear
2,20,participant,what
2,20,participant,it
2,20,participant,is
2,20,participant,because
2,20,participant,it
2,20,participant,is
2,20,participant,quadraped
2,20,participant,quadrupedal
2,20,participant,and
2,20,participant,in
2,20,participant,and
2,20,participant,that's
2,20,participant,why
2,20,participant,it's
2,20,participant,called
2,20,participant,a
2,20,participant,catpass
2,20,participant,isn't
2,20,participant,it
2,20,participant,because
2,20,participant,that's
2,20,participant,basically
2,20,participant,how
2,20,participant,cats
2,20,participant,leap
2,20,participant,so
2,20,participant,that's
2,20,participant,quite
2,20,participant,easily
2,20,participant,identifiable
2,20,participant,by
2,20,participant,that
2,21,interviewer,mm
2,21,interviewer,are
2,21,interviewer,there
2,21,interviewer,like
2,21,interviewer,obviously
2,21,interviewer,there
2,21,interviewer,can
2,21,interviewer,be
2,21,interviewer,a
2,21,interviewer,huge
2,21,interviewer,amount
2,21,interviewer,of
2,21,interviewer,these
2,21,interviewer,things
2,21,interviewer,either
2,21,interviewer,side
2,21,interviewer,of
2,21,interviewer,that
2,21,interviewer,you
2,21,interviewer,know
2,21,interviewer,taking
2,21,interviewer,off
2,21,interviewer,and
2,21,interviewer,landing
2,21,interviewer,essentially
2,21,interviewer,are
